	sentence	v	a	d
0	aardvark	6.2	2.4	4.3
1	abalone	5.3	2.6	5.0
2	abandon	2.8	3.7	3.3
3	abandonment	2.6	5.0	2.6
4	abbey	5.8	2.2	5.0
5	abdomen	5.4	3.7	5.2
6	abdominal	4.5	3.5	5.3
7	abduct	2.4	5.9	2.8
8	abduction	2.0	5.3	3.0
9	abide	5.5	3.3	5.3
10	abiding	5.6	3.6	6.6
11	ability	7.0	4.8	6.6
12	abject	4.0	3.9	4.4
13	ablaze	5.2	6.8	4.6
14	able	6.6	3.4	6.2
15	abnormal	3.5	4.5	4.7
16	abnormality	3.0	5.0	4.0
17	abode	5.3	2.9	5.0
18	abolish	3.8	4.2	4.6
19	abominable	4.0	5.4	4.6
20	abomination	2.5	5.9	3.8
21	abort	3.1	5.8	3.4
22	abortion	2.6	5.4	4.7
23	abracadabra	5.1	5.3	5.0
24	abrasive	4.3	6.1	4.9
25	abreast	4.6	4.6	5.2
26	abrupt	3.3	5.2	3.8
27	abscess	2.8	4.0	4.0
28	absence	3.9	4.3	4.2
29	absent	4.1	3.7	4.2
30	absinthe	3.5	3.7	4.0
31	absolute	5.4	3.5	5.6
32	absolution	6.6	3.4	5.8
33	absolve	4.6	3.5	4.8
34	absorb	5.5	4.3	5.6
35	abstain	4.4	3.1	6.1
36	abstinence	3.4	3.2	5.6
37	abstract	5.2	4.0	5.5
38	absurd	4.4	4.0	5.1
39	absurdity	4.1	4.7	5.4
40	abundance	6.7	4.7	5.7
41	abundant	7.6	4.2	5.8
42	abuse	1.5	6.2	2.9
43	abusive	2.0	5.3	3.6
44	abysmal	3.4	3.9	3.8
45	abyss	3.9	4.8	4.0
46	academic	6.6	3.3	6.2
47	academy	5.3	3.8	5.4
48	accelerant	4.6	4.8	6.0
49	accelerate	6.1	6.0	6.2
50	accelerated	6.2	4.8	6.3
51	acceleration	6.2	6.7	5.8
52	accelerator	5.6	5.0	6.6
53	accent	6.5	5.0	5.4
54	accept	6.4	2.8	5.9
55	acceptable	6.6	3.6	6.6
56	acceptance	6.8	4.3	6.5
57	access	6.7	5.3	6.9
58	accessible	6.7	3.2	6.6
59	accessory	5.4	4.2	5.8
60	accident	2.6	4.9	3.0
61	accidental	3.5	4.0	3.4
62	acclaim	6.1	4.0	5.8
63	accommodate	6.4	3.0	6.3
64	accommodation	6.8	4.7	6.0
65	accompany	5.5	3.8	5.6
66	accomplice	4.6	4.5	5.2
67	accomplish	7.4	5.2	7.3
68	accomplishment	8.0	5.0	6.5
69	accord	6.4	2.8	5.6
70	accordion	5.3	2.9	5.2
71	account	5.4	3.8	5.1
72	accountability	4.9	3.7	6.6
73	accountable	5.7	4.2	5.6
74	accountant	5.2	3.8	5.7
75	accounting	4.4	3.7	4.5
76	accumulate	6.3	2.7	6.2
77	accuracy	6.3	3.3	6.7
78	accurate	7.4	4.4	6.5
79	accursed	3.2	5.3	4.1
80	accusation	3.4	5.5	3.6
81	accuse	2.7	5.3	4.0
82	ace	6.4	4.6	6.6
83	acetylene	4.1	3.7	4.7
84	ache	3.3	4.3	4.0
85	achieve	7.8	4.7	6.6
86	achievement	7.3	5.6	7.2
87	achy	3.2	4.5	4.6
88	acid	3.3	4.8	4.3
89	acknowledge	6.4	3.3	6.1
90	acknowledgement	6.5	3.3	6.7
91	acne	2.2	4.5	3.4
92	acorn	5.8	4.4	4.8
93	acoustic	7.1	4.0	5.8
94	acoustics	6.3	3.2	5.9
95	acquaintance	5.6	3.2	5.3
96	acquire	5.5	4.9	7.0
97	acquisition	5.0	4.4	5.9
98	acquit	5.6	4.6	5.4
99	acquittal	6.2	5.0	5.0
100	acre	5.5	2.7	4.9
101	acreage	5.2	3.7	5.5
102	acrobat	6.0	4.9	5.4
103	acrylic	5.5	3.7	5.4
104	act	5.6	4.2	6.1
105	action	6.0	6.2	6.2
106	action figure	6.2	4.6	6.7
107	activate	5.7	3.8	6.3
108	activation	6.1	3.5	6.9
109	active	6.5	5.6	6.3
110	activist	6.2	5.3	5.9
111	activity	6.2	4.9	6.4
112	actor	6.2	4.4	5.6
113	actress	5.4	5.4	4.6
114	actual	6.2	2.8	5.5
115	actuality	5.4	5.6	5.2
116	acupuncture	4.8	4.9	4.8
117	acute	5.1	5.1	5.1
118	ad	4.1	3.3	5.2
119	adage	5.6	3.4	5.1
120	adamant	5.4	5.7	6.4
121	adapt	5.8	3.9	5.8
122	adaptation	5.8	3.6	6.0
123	add	6.2	4.0	6.8
124	adder	4.4	3.2	4.4
125	addict	2.9	5.3	2.7
126	addicted	2.9	4.8	2.8
127	addiction	3.5	4.5	3.8
128	addictive	3.5	4.8	4.4
129	additional	6.2	3.6	5.0
130	address	6.1	3.0	4.9
131	adept	6.1	4.2	6.5
132	adequate	4.7	3.6	6.9
133	adhere	5.2	3.5	3.9
134	adhesive	5.8	3.2	4.9
135	Adidas	5.8	4.2	6.3
136	adjacent	5.2	2.8	4.3
137	adjective	6.0	3.6	6.1
138	adjoining	5.1	3.5	4.6
139	adjourn	5.5	3.2	5.8
140	adjust	5.8	3.0	6.0
141	adjuster	4.2	3.5	5.8
142	adjustment	5.5	4.6	4.5
143	admin	4.4	3.6	5.8
144	administer	4.4	3.9	6.3
145	administration	4.4	3.2	4.8
146	administrative	4.8	3.2	5.9
147	administrator	5.3	4.7	5.5
148	admirable	7.0	4.6	5.8
149	admiral	4.8	4.0	5.7
150	admiralty	6.2	4.3	6.1
151	admiration	7.6	5.5	6.1
152	admire	7.4	5.0	7.3
153	admired	7.2	6.0	6.9
154	admirer	7.0	6.0	6.3
155	admissible	5.2	2.9	6.2
156	admission	5.9	3.7	5.5
157	admit	5.6	3.4	4.6
158	admittance	6.3	3.6	6.0
159	ado	4.8	3.3	4.5
160	adobe	5.2	3.9	5.6
161	adolescence	6.0	5.1	4.4
162	adolescent	5.4	4.2	4.0
163	adopt	6.9	4.7	5.4
164	adoption	6.7	4.8	5.6
165	adoptive	5.7	4.4	5.6
166	adorable	7.4	4.7	6.8
167	adoration	6.5	4.4	6.5
168	adore	7.4	6.0	6.3
169	adoring	7.4	4.9	6.3
170	adrenalin	6.3	5.0	4.8
171	adrenaline	6.6	6.0	5.7
172	adrift	4.4	3.2	4.1
173	adult	5.9	4.4	6.5
174	adulterer	2.8	5.7	3.2
175	adultery	2.8	6.4	3.3
176	adulthood	5.0	4.3	6.1
177	advance	6.1	4.6	6.1
178	advanced	6.1	3.8	7.0
179	advancement	7.5	5.8	6.4
180	advantage	6.7	4.0	7.2
181	advantageous	6.8	5.7	6.2
182	adventure	7.4	6.4	6.4
183	adventurer	7.0	5.3	5.8
184	adventurous	7.4	6.7	5.7
185	adversary	4.6	4.4	5.0
186	adverse	3.7	3.9	3.4
187	adversity	4.3	3.8	4.6
188	advertise	5.2	4.3	5.7
189	advertisement	4.3	4.1	5.8
190	advertising	4.7	3.2	5.0
191	advice	5.8	3.0	5.8
192	advisable	5.6	4.4	5.9
193	advise	5.4	3.4	6.4
194	advisement	4.6	4.0	5.9
195	adviser	5.7	3.4	6.2
196	advisor	4.7	3.2	5.7
197	advisory	5.0	4.0	4.2
198	advocate	5.2	4.6	7.3
199	aerial	6.0	3.7	5.2
200	aerobics	6.0	5.1	5.7
201	aerodynamic	6.2	4.3	5.1
202	aerospace	5.8	4.5	5.2
203	aesthetic	5.4	2.9	5.5
204	affair	3.1	5.4	5.9
205	affect	5.6	3.6	6.4
206	affection	7.9	5.6	6.6
207	affectionate	7.2	4.8	6.9
208	affidavit	4.4	3.7	4.0
209	affiliation	5.3	3.9	5.3
210	affinity	5.9	4.3	6.6
211	affirmation	6.0	4.0	6.5
212	affirmative	5.9	3.6	6.8
213	affliction	3.8	5.1	4.2
214	afford	6.6	4.3	6.4
215	affordable	7.5	4.1	6.2
216	affront	4.5	4.5	5.0
217	afire	6.0	5.4	4.4
218	afloat	5.6	4.1	5.0
219	aforementioned	5.2	3.5	5.0
220	afraid	2.2	5.1	2.7
221	african	6.4	4.1	5.8
222	afterlife	5.5	4.3	5.9
223	aftermath	4.3	5.4	4.2
224	afternoon	6.7	3.5	5.7
225	aftershave	5.6	3.5	5.8
226	age	5.8	3.7	4.7
227	agency	5.1	3.2	4.9
228	agenda	5.0	3.6	5.4
229	agent	5.2	3.4	5.6
230	aggravate	2.6	5.9	4.8
231	aggravation	2.5	5.4	4.4
232	aggression	3.2	5.7	4.6
233	aggressive	3.1	5.9	5.5
234	aggressiveness	3.6	6.4	5.2
235	aggressor	2.8	6.6	4.6
236	agile	6.0	5.0	6.1
237	agility	6.6	4.2	6.4
238	aging	3.0	3.8	3.1
239	agitate	3.4	5.8	4.6
240	agitation	2.8	4.8	3.3
241	aglow	5.8	4.8	5.6
242	agonizing	2.7	6.7	4.0
243	agony	2.5	5.8	4.0
244	agree	7.2	3.6	6.9
245	agreeable	6.9	3.6	7.0
246	agreement	6.8	4.0	6.5
247	agricultural	5.5	3.6	5.7
248	agriculture	6.1	3.0	6.0
249	ahoy	5.6	4.0	5.4
250	aid	6.3	4.6	6.0
251	aide	5.6	4.0	7.0
252	aids	3.5	3.8	4.9
253	AIDS	1.3	5.0	3.6
254	ailing	3.0	4.5	4.2
255	ailment	3.0	3.7	3.1
256	aim	6.0	4.0	6.5
257	air	6.7	3.2	5.7
258	airbag	5.4	3.6	4.8
259	airborne	5.2	3.5	4.5
260	aircraft	6.3	4.9	5.7
261	aircraft carrier	5.2	4.6	5.8
262	airfield	5.7	4.4	4.8
263	airhead	4.1	4.3	4.2
264	airline	5.4	4.1	4.9
265	airliner	6.0	4.0	4.2
266	airlock	4.8	4.2	5.0
267	airplane	5.2	5.6	4.1
268	airport	6.0	5.5	5.8
269	airship	5.6	4.9	4.4
270	airspace	5.5	4.4	4.9
271	airspeed	5.0	4.3	5.2
272	airstrip	4.8	3.8	5.1
273	airtight	5.1	3.3	4.8
274	airway	5.0	4.0	4.0
275	aisle	5.2	2.5	4.9
276	ajar	5.0	3.3	5.3
277	aka	4.6	3.4	4.4
278	alabaster	5.5	4.0	5.4
279	alarm	3.9	6.8	6.6
280	alarm clock	3.5	5.4	4.8
281	alarming	3.5	6.5	4.0
282	albatross	5.7	3.1	4.9
283	albino	4.9	3.1	4.0
284	album	6.2	5.6	5.9
285	alcohol	4.1	5.2	4.0
286	alcoholic	2.5	5.5	3.3
287	alcoholism	2.0	5.0	3.0
288	alcove	5.5	3.3	5.3
289	alderman	4.4	3.0	5.0
290	ale	6.0	4.1	5.2
291	alert	5.4	5.1	6.6
292	alfalfa	4.8	3.7	5.7
293	algebra	5.4	4.6	4.5
294	algorithm	5.3	3.7	4.0
295	alias	5.0	4.7	5.9
296	alibi	4.2	4.5	5.2
297	alien	4.4	4.9	3.6
298	alienate	2.8	4.3	3.7
